,location,variable,value,sample_class,sample,Omicron_frac,Omicron_frac_calibrated,batch
232,7,B.1.617.2,0.933748168937032,Illumina,illumina_31581,0.25,0.18648,batch3
233,7,BA.1,0.015789203262649,Illumina,illumina_31581,0.25,0.18648,batch3
234,7,B.1.617.2,0.858583443110957,Flongle,flongle_31585,0.25,0.18648,batch3
235,7,BA.1,0.0308390032538955,Flongle,flongle_31585,0.25,0.18648,batch3
236,7,B.1.617.2,0.9052146458090816,MinION,minION_31582,0.25,0.18648,batch3
237,7,BA.1,0.0270241896519214,MinION,minION_31582,0.25,0.18648,batch3
238,7,B.1.617.2,0.9375859233996172,Aviti,aviti_31581,0.25,0.18648,batch3
239,7,BA.1,0.0147454812599639,Aviti,aviti_31581,0.25,0.18648,batch3
240,8,B.1.617.2,0.9665425756659776,Illumina,illumina_31441,0.125,0.08945,batch1
241,8,BA.1,0.0003745736049451,Illumina,illumina_31441,0.125,0.08945,batch1
242,8,B.1.617.2,0.8099336365944936,Flongle,flongle_31583,0.125,0.08945,batch1
243,8,BA.1,0.0122671272424886,Flongle,flongle_31583,0.125,0.08945,batch1
244,8,B.1.617.2,0.9665425756659776,MinION,minION_31442,0.125,0.08945,batch1
245,8,BA.1,0.0003745736049451,MinION,minION_31442,0.125,0.08945,batch1
246,8,B.1.617.2,0.9668651641056234,Aviti,aviti_31441,0.125,0.08945,batch1
247,8,BA.1,2.191653802172585e-07,Aviti,aviti_31441,0.125,0.08945,batch1
248,8,B.1.617.2,0.9791176133435274,Illumina,illumina_31519,0.125,0.08945,batch2
249,8,BA.1,0.0044324711165922,Illumina,illumina_31519,0.125,0.08945,batch2
250,8,B.1.617.2,0.8315876221039415,Flongle,flongle_31584,0.125,0.08945,batch2
251,8,BA.1,4.114886275524279e-20,Flongle,flongle_31584,0.125,0.08945,batch2
252,8,B.1.617.2,0.8763830229120096,MinION,minION_31520,0.125,0.08945,batch2
253,8,BA.1,0.0054025790871281,MinION,minION_31520,0.125,0.08945,batch2
254,8,B.1.617.2,0.980649378061769,Aviti,aviti_31519,0.125,0.08945,batch2
255,8,BA.1,0.0047733504509548,Aviti,aviti_31519,0.125,0.08945,batch2
256,8,B.1.617.2,0.9250903351765932,Illumina,illumina_31581,0.125,0.08945,batch3
257,8,BA.1,0.0334465974234291,Illumina,illumina_31581,0.125,0.08945,batch3
258,8,B.1.617.2,0.8212842841778312,Flongle,flongle_31585,0.125,0.08945,batch3
259,8,BA.1,0.0138065066041024,Flongle,flongle_31585,0.125,0.08945,batch3
260,8,B.1.617.2,0.8751621466696089,MinION,minION_31582,0.125,0.08945,batch3
261,8,BA.1,0.0112134360902579,MinION,minION_31582,0.125,0.08945,batch3
262,8,B.1.617.2,0.9272803798281763,Aviti,aviti_31581,0.125,0.08945,batch3
263,8,BA.1,0.0316019726500771,Aviti,aviti_31581,0.125,0.08945,batch3
264,9,B.1.617.2,0.9569676920161292,Illumina,illumina_31441,0.0625,0.043840000000000004,batch1
265,9,BA.1,1.4127235212998778e-19,Illumina,illumina_31441,0.0625,0.043840000000000004,batch1
266,9,B.1.617.2,0.7988605242237479,Flongle,flongle_31583,0.0625,0.043840000000000004,batch1
267,9,BA.1,0.0025525586019648,Flongle,flongle_31583,0.0625,0.043840000000000004,batch1
268,9,B.1.617.2,0.9569676920161292,MinION,minION_31442,0.0625,0.043840000000000004,batch1
269,9,BA.1,1.4127235233210888e-19,MinION,minION_31442,0.0625,0.043840000000000004,batch1
270,9,B.1.617.2,0.960493569199224,Aviti,aviti_31441,0.0625,0.043840000000000004,batch1
271,9,BA.1,1.6202087024076794e-15,Aviti,aviti_31441,0.0625,0.043840000000000004,batch1
272,9,B.1.617.2,0.9097836335972436,Illumina,illumina_31519,0.0625,0.043840000000000004,batch2
273,9,BA.1,0.0037277772623674,Illumina,illumina_31519,0.0625,0.043840000000000004,batch2
274,9,B.1.617.2,0.82021733545068,Flongle,flongle_31584,0.0625,0.043840000000000004,batch2
275,9,BA.1,1.472244795767235e-13,Flongle,flongle_31584,0.0625,0.043840000000000004,batch2
276,9,B.1.617.2,0.8842195250993699,MinION,minION_31520,0.0625,0.043840000000000004,batch2
